by,score,time,url,text,id,type,title,kids,descendants
not_a_boat,19,1714832221,https://www.beautifulpublicdata.com/the-mirror-fusion-test-facility/,,40257843,story,The Mirror Fusion Test Facility (2023),"[40258169, 40258156, 40257939, 40257942, 40257960, 40257902]",7
downboots,73,1714716721,https://www.imsc.res.in/~hbar/PDFs_2017/Paper_by_Demaine_Demaine_Lubiw.pdf,,40244653,story,Folding and One Straight Cut Suffice [pdf] (1999),"[40257363, 40258136, 40256702, 40257405, 40256481, 40256472, 40256969]",11
Brajeshwar,26,1714830829,https://www.technologyreview.com/2024/05/03/1092026/cancer-vaccines-are-having-a-renaissance/,,40257689,story,Cancer vaccines are having a renaissance,"[40258245, 40258172, 40258176]",13
qsantos,40,1714536153,https://www.tugberkugurlu.com/archive/resistance-against-london-tube-map-commit-history-a-k-a--git-merge-hell,,40219386,story,Resistance Against Git Merge Hell,"[40221673, 40221394, 40221879, 40221621, 40258011, 40221426, 40221806, 40222357, 40257543, 40221882, 40258081, 40222288, 40221581, 40221682, 40221981, 40222315]",84
caratrayd,1,1714824028,https://www.ycombinator.com/companies/trayd/jobs/mWFq6En-technical-customer-success-associate,,40256991,job,Trayd (YC S23) Is Hiring Technical Customer Success Associate,,
pg5,394,1714759885,https://bandmatch.app,,40250557,story,Show HN: BandMatch – “Tinder” but for finding musicians to create bands/collab,"[40258288, 40257585, 40252315, 40252985, 40256130, 40253757, 40253082, 40255138, 40250722, 40251389, 40251974, 40256603, 40254508, 40250964, 40252283, 40250880, 40251124, 40251591, 40253704, 40257012, 40252717, 40252288, 40252142, 40253323, 40255764, 40253504, 40253546, 40253149, 40253572, 40252343, 40251205, 40251757, 40252897, 40251195, 40253162, 40254102, 40253300, 40256210, 40250911, 40252982, 40257245, 40254662, 40253800, 40253736, 40253745, 40251331, 40254931, 40254165, 40253477, 40253277, 40253133, 40251408, 40252347, 40253438, 40251874, 40250893, 40253389, 40250954]",196
bustylasercanon,136,1714782204,https://bloom-ui.fly.dev/,"I&#x27;ve been writing Elixir for 5 years and made plenty of sites with Phoenix and LiveView but my biggest gripe has always been with the lack of quality UI components available.<p>The JS ecosystem has so many, and it&#x27;s the one thing I miss from being primarily a React &amp; Node developer.<p>So this is my attempt at bringing some pretty and useful components most applications need to Phoenix projects to try and fill in the gaps between what makes LiveView such a productive joy to work with.<p>The library is very very raw and requires some initial clean up so PRs are very welcome to tidy up the DX as well as the general quality of the repo &amp; components.<p>Hope you like it.",40253774,story,Show HN: Bloom – A shadcn like UI library for Elixir and Phoenix,"[40257593, 40258126, 40257394, 40256259, 40255451]",15
YeGoblynQueenne,26,1714824799,https://www.theguardian.com/world/article/2024/may/04/vulture-shortage-threatens-zoroastrian-burial-rites-india-iran-pakistan,,40257064,story,Vulture shortage threatens Zoroastrian burial rites,"[40258093, 40258054, 40257243, 40258051]",17
abi,370,1714771606,https://github.com/abi/secret-llama,"I spent the last few days building out a nicer ChatGPT-like interface to use Mistral 7B and Llama 3 fully within a browser (no deps and installs).<p>I’ve used the WebLLM project by MLC AI for a while to interact with LLMs in the browser when handling sensitive data but I found their UI quite lacking for serious use so I built a much better interface around WebLLM.<p>I’ve been using it as a therapist and coach. And it’s wonderful knowing that my personal information never leaves my local computer.<p>Should work on Desktop with Chrome or Edge. Other browsers are adding WebGPU support as well - see the Github for details on how you can get it to work on other browsers.<p>Note: after you send the first message, the model will be downloaded to your browser cache. That can take a while depending on the model and your internet connection. But on subsequent page loads, the model should be loaded from the IndexedDB cache so it should be much faster.<p>The project is open source (Apache 2.0) on Github. If you like it, I’d love contributions, particularly around making the first load faster.<p>Github: <a href=""https:&#x2F;&#x2F;github.com&#x2F;abi&#x2F;secret-llama"">https:&#x2F;&#x2F;github.com&#x2F;abi&#x2F;secret-llama</a>
Demo: <a href=""https:&#x2F;&#x2F;secretllama.com"" rel=""nofollow"">https:&#x2F;&#x2F;secretllama.com</a>",40252569,story,Show HN: I built a free in-browser Llama 3 chatbot powered by WebGPU,"[40257168, 40258004, 40254601, 40256774, 40253752, 40257102, 40257178, 40257590, 40254302, 40253844, 40255925, 40256285, 40256640, 40254170, 40253816, 40255802, 40253934, 40253926, 40254700, 40253756, 40256665, 40255063, 40254636, 40257438, 40253432, 40257204, 40253749, 40256841, 40255875, 40255260, 40254687, 40255187, 40256839, 40256837]",88
soheilpro,182,1714727659,https://www.figma.com/blog/figmas-journey-to-typescript-compiling-away-our-custom-programming-language/,,40245686,story,Figma’s Journey to TypeScript,"[40258098, 40255179, 40255280, 40258165, 40255818, 40256842, 40255556, 40256473, 40257392, 40256852, 40255804, 40256692, 40257323, 40255426, 40256818]",161
